vessel_id;name;former_names;mmsi;imo;eni;callsign;ship_type;ship_subtype;operator;cruise_brand;flag;status;year_built;length_m;width_m;json_path;updated_at
VES-000000;Testschiff;Test;;;02336090;;PASSENGER;RIVER_CRUISE;Emerald Waterways;;MT;active;2015;135;11.45;data/vessels/VES-000000.json;2026-07-23T04:25:25.555Z
VES-000001;Testschiff;;;;;;;;;;;unknown;;;;data/vessels/VES-000001.json;
VES-000100;S. S. Beatrice;River Beatrice;;;02329007;;PASSENGER;RIVER_CRUISE;Uniworld River Cruises;;NL;active;2007;131;11.4;data/vessels/VES-000100.json;2026-07-23T19:08:51.152Z
VES-000101;Travelmarvel Capella;;269057780;;02338951;HE7780;PASSENGER;RIVER_CRUISE;;;CH;active;2021;135;12;data/vessels/VES-000101.json;2026-08-05T12:12:23.567Z
VES-000102;AmaStella;;;;07002031;;PASSENGER;RIVER_CRUISE;AMA Waterways;;CH;active;2016;135;11.45;data/vessels/VES-000102.json;2026-07-23T13:59:39.471Z
VES-000103;A-Rosa Riva;;211160710;8979295;04802780;DA4157;PASSENGER;RIVER_CRUISE;A-ROSA Flussschiff;;DE;active;2004;124.5;14.4;data/vessels/VES-000103.json;2026-07-27T06:11:28.978Z
VES-000104;TUI Isla;TUI Allegra|Melodia|Excellence Allegra;;;04809190;;PASSENGER;RIVER_CRUISE;TUI Cruises;;MT;active;2010;135;11.45;data/vessels/VES-000104.json;2026-08-07T11:07:38.638Z
VES-000105;AmaMora;;;;07002112;;PASSENGER;RIVER_CRUISE;AMA Waterways;;CH;active;2019;135;11.45;data/vessels/VES-000105.json;2026-07-23T19:25:15.489Z
VES-000106;TUI Skyla;TUI Sonata|WT Sonata;;;65000001;;PASSENGER;RIVER_CRUISE;TUI Cruises;;MT;active;2010;135;11.45;data/vessels/VES-000106.json;2026-07-27T09:38:47.362Z
VES-000107;A-Rosa Flora;;211621310;;04810970;DMBD;PASSENGER;RIVER_CRUISE;A-ROSA Flussschiff;;DE;active;2014;135;11.4;data/vessels/VES-000107.json;2026-07-27T11:37:21.568Z
VES-000108;AmaReina;;;;02335818;;PASSENGER;RIVER_CRUISE;AMA Waterways;;CH;active;2014;135;11.45;data/vessels/VES-000108.json;2026-07-27T14:28:53.781Z
VES-000110;S.S. Maria Theresa;;244830865;;02335374;PI9609;PASSENGER;RIVER_CRUISE;Uniworld River Cruises;;NL;active;2015;135;11.4;data/vessels/VES-000110.json;2026-07-28T06:26:41.861Z
VES-000111;TUI Maya;TUI Melodia|Melodia|Excellence Melodia;211524940;;04809200;DK5960;PASSENGER;RIVER_CRUISE;TUI Cruises;;MT;active;2011;135;11.45;data/vessels/VES-000111.json;2026-08-07T11:08:12.070Z
VES-000112;S. S. Emilie;;269057154;;;HE7154;PASSENGER;RIVER_CRUISE;Uniworld River Cruises;;CH;active;2026;135;12;data/vessels/VES-000112.json;2026-08-01T17:59:47.625Z
VES-000113;Vista Classica;;269957683;;;HE7683;PASSENGER;RIVER_CRUISE;;;CH;active;;107;12;data/vessels/VES-000113.json;2026-08-05T12:14:08.529Z
VES-000114;Avalon Illumination;;;;02335487;;PASSENGER;RIVER_CRUISE;Avalon Waterways;;CH;active;2014;135;11.45;data/vessels/VES-000114.json;2026-08-05T12:09:30.924Z
VES-000115;Amadeus Cara;;;;02339509;;PASSENGER;RIVER_CRUISE;Danubia Kreuzfahrten;;DE;active;2022;135;11.4;data/vessels/VES-000115.json;2026-08-06T04:35:25.553Z
VES-000116;France;;253242505;;01823029;LX2505;PASSENGER;RIVER_CRUISE;CroisiEurope;;LU;active;2003;110;11.4;data/vessels/VES-000116.json;2026-08-06T09:46:12.934Z
VES-000117;Viking Vilhjalm;;;;07002034;;PASSENGER;RIVER_CRUISE;Viking River Cruises;;CH;active;2016;135;11.45;data/vessels/VES-000117.json;2026-08-06T14:47:06.006Z
VES-000118;NickoVision;;;;;;UNKNOWN;UNKNOWN;;;;active;;;;data/vessels/VES-000118.json;2026-08-06T14:48:11.292Z
